Question,positive prompt (1.0),neutral prompt (0.5),negative prompt (0.0),question type,dr_mario,mario,luigi,bowser,peach,yoshi,dk,falcon,ganon,falco,fox,ness,ice_climbers,wobbling_ice_climbers,kirby,samus,zelda,sheik,link,ylink,pichu,pikachu,puff,mewtwo,gw,marth,roy,sopo,giga_bowser,male_wireframe,fem_wireframe,masterhand,crazyhand,koopa,goomba
Where are you more likely to be found at a local tournament?,On a setup,both equally likely,socializing,binary,0.5,0.5,0.55,0.8,0.6,0.6,0.4,0.4,0.6,0.5,0.5,0.7,0.5,0.4,0.5,0.5,0.5,0.7,0.6,0.6,0.8,0.5,0.3,0.5,0.5,0.5,0.6,0.1,0,0.4,0.6,1,0,0.5,0.55
How do you approach the game?,slow and steady wins the race,,all out aggression,binary,0.44,0.45,0.55,1,0.6,0.9,0.65,0.05,0.92,0.15,0.2,0.69,0.5,0.7,0.85,1,0.96,0.7,0.78,0.92,0.45,0.4,0.98,0.6,0.4,0.85,0.9,0.5,0.5,0.8,0.5,1,0,0.97,0.25
do you think white marth looks good?,yes,,no it looks like garbage,binary,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
"ever use aderall or other ""focus enhancing"" medications while in tournament? (not perscribed)",yeah always,,no never,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What sounds better?,Attack opponent from far away,,get up in their face,binary,0.25,0.15,0.03,0.05,0.8,0.9,0,0,0,0.6,0.05,0.95,0.55,0.8,0.5,0.7,0.3,0.4,1,1,0.5,0.5,0,0.9,0.6,0,0,,,,,,,,
How important is hand health for you?,Not very concerned,,Very concerned,binary,0,0,0,0,0.1,0.5,0,0.4,0,0.85,1,0.4,0.2,0.1,0.1,0,0,0,0,0,0.1,0.25,0,0.05,0.1,0,0,,,,,,,,
Do you enjoy making your opponent feel like they have fewer options?,yes,,no,binary,0.05,0.06,0.1,0,0.17,0.14,0.1,0.42,0.3,0.98,0.91,,,,,,,,,,,,,,,,,,,,,,,,
Are you much of a risk taker?,all or nothin baby,,no thats foolish,binary,0.8,1,0.75,0.95,0.11,0.62,0.7,0.95,1,0.9,0.92,0.6,0.3,0,1,0,0.5,0.1,0.7,0.8,0.95,0.86,0.09,0.75,0.75,0,0.6,,,,,,,,
Would you learn another character for doubles?,yeah I'd be willing to,,no I only want to learn one/dont like doubles,binary,0.5,0.5,0.5,0.5,0,0.5,1,0,0,0.6,0,0.5,0,0,0.4,0.3,0.4,0,0.7,0.7,1,1,0,1,0.5,0.4,0.4,0.8,0,1,1,0,0,1,1
Why do you play?,to win,,To have fun,binary,0.4,0.42,0.55,0,1,0.75,0.2,0.75,,0.95,1,0,0.5,1,0.4,,,,,,,,,,,,,,,,,,,,
Do you have goals to be PRd or top 100?,yeah,,nope/whats that?,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which stragety sounds more fun?,attack before they do!,,wait patently and counter their approach,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What sounds like a more effective stragety?,attack before they do!,,wait patently and counter their approach,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever been horny on main?,yeah I'm no prude,,ew no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you like the z button?,yes I would marry it,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"you have a twitch prime, who do you use it on?",Mang0,,Hungrybox,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which sounds better to you?,Be an innovator,,Go with the proven methods,binary,0.8,0.85,0.7,1,0.2,0.75,0.8,0.2,0.6,0.15,0.05,1,0.9,0,0.9,0.5,0.95,0.4,0.9,0.92,1,0.76,0.25,0.9,0.92,0.25,0.74,,,,,,,,
Are you sexually attracted to your main at all?,yeah why else play,,no wtf,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is more important?,winning,,"swagging on your opponent, destroy their soul",binary,0.1,0.1,0.2,0,0.9,0.4,0.1,0.35,0.2,0.48,0.5,0.1,0.5,1,0,0.5,0.15,0.83,0.2,0.2,0,0.5,0.92,0,0.2,0.87,0,,,,,,,,
if hell exists do you think you're going?,without a doubt,,no Im actually a pretty good person,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you regularly watch anime?,yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which version would you rather play on?,ntsc 1.02,,ntsc 1.0,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you compete in other fighting games outside of the smash series?,yes,,no,slider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever clapped to the dreamland music?,yeah it was funny,,no its so annoying,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you like spending time in the lab?,"yes, many hours",,"nope, just warm up with friendlies/unranked",binary,0.6,0.4,0.5,1,1,1,0.8,0.7,0.4,0.65,0.79,0.92,1,0.3,0.7,0.92,0.1,0.5,1,0.77,0.3,0.75,0,0.65,0.5,0.55,0.1,,,,,,,,
do you want variance in your viable gameplans?,yeah that sounds fun,,"no, if it works why bother to switch it up?",binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What would you prefer?,smash fest,,road tripping to a large regional for the day,binary,0.65,0.7,0.55,0.7,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,
Are you a gambler?,yes,,no,binary,0,0,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,1,0,0,,,,,,,,
play while intoxicated in tournament very often?,yes always,,no never,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you play a musical instrument?,yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what controller type do you use?,gcc/goomwave/phob,,rectangle/other,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can anyone become the best or are only some people born with that ability?,"anyone, just takes time/dedication",,only some are born with what it takes,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
